Date,Name,Year,Letterboxd URI
2023-11-26,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2023-12-15,Yeh Jawaani Hai Deewani,2013,https://boxd.it/5Cmo
2023-12-25,Aftersun,2022,https://boxd.it/Arw0
2024-01-03,Columbus,2017,https://boxd.it/eCuA
2024-01-04,The Boy and the Heron,2023,https://boxd.it/ipeM
2024-01-05,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a
2024-01-26,Drinking Buddies,2013,https://boxd.it/5jhk
2024-01-29,The Vow,2012,https://boxd.it/2o4Y
2024-02-09,The Edge of Heaven,2007,https://boxd.it/27D8
2024-03-02,Beau Travail,1999,https://boxd.it/1NI8
2024-03-03,Passages,2023,https://boxd.it/xX9c
2024-03-27,50/50,2011,https://boxd.it/10Tw
2024-03-29,How to Have Sex,2023,https://boxd.it/EFIM
2024-03-31,The Sweet East,2023,https://boxd.it/CcHw
2024-04-30,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
